,Unnamed: 0,Movie Title,Movie Rating,Movie Genre,Review Date,Review Title,Review Content,ReviewerRating,Manual_Combined,Rating_scaled
13,13,Lightyear,6.1,Animation Action Adventure,17-Jun-22,Boring,"I saw this in the theater with my 6 year old. She fell asleep and I almost did too...boring, nonsensical, inconsistent, and worst of all, not funny. What was the point?

Should have been free to watch on Disney plus.",3,-1,-1
14,14,Lightyear,6.1,Animation Action Adventure,23-Jul-22,Wow such a low score,"Honest i was not really sure about this movie since its straight out of toy story.

But it delivered and was really exciting, not sure why people are giving it low ratings, and also bad reviews.",8,1,1
15,15,Lightyear,6.1,Animation Action Adventure,16-Jul-22,Better than I had anticipated...,"Well, I have to admit that the 2022 Pixar and Disney CGI animated movie ""Lightyear"" was actually better than I had expected it to be. Granted, I wasn't much of a fan of the ""Toy Story"" movies, so I had some reluctance about watching ""Lightyear"". But eventually got to it, as my family wanted to watch it.

And I was pleasantly surprised. The storyline, as written by Angus MacLane, Matthew Aldrich and Jason Headley, was actually rather enjoyable and good. It was a fast paced storyline, though most of the jokes in the dialogue didn't really find much footing. In fact, it was the robot cat, Sox, that delivered all the comedy in ""Lightyear"".

Visually then ""Lightyear"" was rather good. Lots of vibrant colors and impressive details in the scenes. I would actually say that the movie is worth a second viewing just to sit back and take in all the details and touches to the scenes.

With ""Lightyear"" being a CGI animated movie, having a proper voice acting cast ensemble is pretty important, and they did have that for this 2022 CGI animated movie. Sure, it was a little bit odd at first that you didn't have Tim Allen voicing Buzz, as it was in the ""Toy Story"" movies. But Chris Evans did step up to the task and did a good job. The voice cast also includes the likes of Peter Sohn, Keke Palmer, Taika Waititi, James Brolin, Bill Hader and other good talents.

All in all, then ""Lightyear"" is a wholesome CGI animated adventure for the entire family.

My rating of director Angus MacLane's 2022 ""Lightyear"" lands on a six out of ten stars.",6,1,0
16,16,Lightyear,6.1,Animation Action Adventure,13-Jul-22,Almost Perfect!,"Honestly, I was quite hesitant seeing this film after seeing a lot of low reviews. I was planning to see it weeks ago and keep cancelling it, then I gave it a chance finally last night. I was initially expecting not too much, but surprisingly, it was good! A lot of emotional connections, wacky comedy and as always, visuals were at its best. If you just go see it, have an open mind and just enjoy the film as is. I do understand why many viewers gave a low rating, the pacing is not that exciting as a whole, need more plot surprises or twists, the tone of the flick is cater for older audiences or young audiences who like a bit a serious tone of animation. Again , go see it, you'll enjoy it!",8,1,1
17,17,Lightyear,6.1,Animation Action Adventure,16-Jun-22,Not worthy of the 'Pixar' title,"Toy Story is a legendary franchise and Buzz Lightyear might be among the most iconic animated characters ever created. Taking risks and telling an unique story with these priceless assets is therefore a daunting task. A task which Pixar could not fulfill.

Characters in the early scenes of the movie are well written and the relationships well established. The newly introduced characters (which you spend most of your time with) are not. They all got potential, but they fail to connect with Buzz and therefore fail to connect with the audience. The main antagonist has the same issue. He could've been an interesting character, but Pixar went for the easy route instead. This means that we got to see a very generic evil villain, one of which we've seen countless times before.

The plot was predictable. Lightyear never tries to surprise you, stun you, wow you or shock you. You simply go from A to B to C (sometimes with an obstacle in the way) till the movie is over.

Lightyear isn't unique. Lightyear isn't touching. Lightyear isn't worthy of being called a Pixar production.

Except the cat, the cat was incredible.",6,-1,0
18,18,Lightyear,6.1,Animation Action Adventure,18-Jun-22,An origin story no one wanted...,"Let's be clear here: Disney is lying through their teeth. When you buy a Maui doll from Moana, you get Dwayne Johnson's voice. Disney pretending that because it's an origin story it requires a different voice actor is one of the most feeble attempts ever to avoid backlash. If it had been an origin story of Woody, you can be damn sure Disney would have cast Tom Hanks.

With that out of the way, does this origin story of the Buzz toy bring Pixar a worthy return to theatrical releases? Absolutely not. This very much feels like it should have been the third Disney+ release after Luca and Turning Red. The visuals, while not the best from Pixar, are still quite good. Chris Evans does his best to fill Allen's shoes and his performance is palatable once you get over the change. But what is ultimately lacking here is any heart or substantive story. Attempting to be 'real life' events makes the whole plot feel fabricated beyond an already hardly believable story.

There isn't a universe here where I want get lost in, and frankly, I don't think many viewers will, either...",4,-1,-1
19,19,Lightyear,6.1,Animation Action Adventure,16-Jun-22,What Walts Watching,"In 1995, a boy named Andy got a new ""Buzz Lightyear"" toy as a gift licensed from his favourite movie that year.

""Lightyear"" is the movie about that movie.

This explains why Chris Evans can voice Buzz, because not all toy franchises use the original movie actors to voice the toys.

They sometimes hire voice actors (guys like me) who can mimic the lead actors voice for the product that ends up on toy store shelves.

Fun fact: Evans and Tim Allen, who voiced the character in the ""Toy Story"" franchise, share the same birth date, June 13th, just decades apart.

That said I loved this movie!

It's just pure joy and the animation is first class...wait for the sandwich eating scene.

""Lightyear"" is one of those rare animations that can make you laugh, cry and sigh.

Others that fall into this category are also from Pixar and Disney including ""Up"", ""Lion King"" and of course ""Toy Story"".

There are so many nods to other famous movies in the course of ""Lightyear"", including Star Wars.

You'll have fun just picking them out and discussing all of them with family and friends long after this movie has ended.

By the way do NOT leave till the house lights come on because there are 3 Easter Eggs in the titles.

Interestingly even the name of the movie isn't revealed till the end of the film.

This animation would look great on IMAX...just saying.

""Lightyear is Pixar's first spinoff and second prequel after ""Monsters University"".

The LGBTQ community will be happy to see representation in a children's animation although it is causing issues in some Asian & Middle East countries with refusals to screen the movie.

Whilst others see the relationship as too woke.

Let's face it the creators are simply reflecting real world lifestyle's...same sex marriage is legal in most countries now...even Australia.

Listen out for veteran actor James Brolin voicing his first animated film role in his 80's.

I can't tell you his character because that would a huge spoiler, but it will blow your mind and fits in with the ""Toy Story"" Universe.

By the way the on board navigation system ""IVAN"" (navi spelt backwards), Kiwi actor/director Taika Waititi playing a wannabe Space Ranger and a character called ""Sox"" are all scene stealers.

I liked this movie so much I know I'll watch it again on Disney Plus but it won't be the same as my cinema experience which was so close to perfect.

See this with your whole family because it works on so many levels as great movies should.

To infinity and beyond!",7,1,1
20,20,Lightyear,6.1,Animation Action Adventure,16-Jun-22,A Rebirth For Pixar,"Lightyear felt very nostalgic, yet very fresh at the same time. Pixar finally found a way to pay homage to its inspiration while also avoiding the the sequel/prequel trope. This film marked a much needed change of pace for Pixar. While not providing quite the thought provoking story we've come to expect from the company, Lightyear still managed to deliver a fun action sci-fi flick with loads of humor.

The stylization of this film is obviously a notable change from Pixar's previous projects. Pixar provided a more detailed, dark, and grungy style to this film which lended itself well to the film's recurring themes of loneliness and isolation. I must commend Pixar as these themes were handled very subtly and delicately, showing respect for audience members that might be having comparable thoughts or feelings.

Let me just say, this was the perfect film for Pixar to break back into theaters with. This film demands to be seen in theaters or IMAX if possible. Feeling the rumble of spaceships taking off and landing from the theater seat was something that just needs to be experienced. I feel as if this film was directed to be less of a thought provoking piece and more of a good and fun summer blockbuster. It is absolutely filled to the brim with funny moments and quirky characters. Of course, it wouldn't be a Pixar movie without a few tear jerking moments as well. Get ready for a jovial intergalactic adventure with Buzz and friends in this vindicated rebirth of the typical Pixar movie.",7,1,1
21,21,Lightyear,6.1,Animation Action Adventure,29-Sep-22,To Infinity and Meh,"Buzz Lightyear's origin story and the same movie that ignited Andy's interest in Buzz from Toy Story. The animation is fantastic and I like the premise of a marooned colony trying to science their way home. Unfortunately the writing falls a bit flat and doesn't do the plot or cast any favors. It's an unnecessary addition to the Toy Story universe, but a solid addition to the Pixar library. I don't like that the main villain's identity is kept secret due to his inability to program his robot army to say more than one word. This revelation is yada yadad over so fast that you might think you jumped to hyper speed. Overall, just okay.",6,0,0
22,22,Lightyear,6.1,Animation Action Adventure,05-Sep-22,A disappointment,"The film tries to become a prequel to the extremely successful toy story line. As such it fails miserably, not due to technical issues, but simply because the story sucks. It is inconsistent, carries nothing but clichés and failed punchlines along, and is full of loose ends, even for five-year-olds.

The main problem is that the hero, the actual Buzz Lightyear (who in this movie is supposed to be a real hero, an experienced space ranger, and above all a real person, rather than a cartoonish toy), has all the traits of the wannabe action hero of the actual Toy Story films, and this simply does not work. I did not count how many times ""To infinity and beyond"" was said, but definitely way to many, I guess due to lack of better punchlines, obviously. Buzz is stubborn, rather than brave, a do-it-all loner, rather than a team capable personality, childish and opinionated, rather than wise and adventurous. All these traits are fine for the toy, which actually does not quite know what the real world looks like, but fail miserably for a real person (in fact I kept asking myself, how this guy could even become a space ranger in the first place...).

If the movie was at least funny, or creative, one might forgive its shortcomings, but unfortunately this is not the case.

The whole plot is an incomprehensible mixture of a cartoonish outer space (where one would expect the black Martian from Roger Rabbit to land any moment), and a B-movie of the space horror genre from the seventies. Huge malicious brainless plants and bugs, an even more brainless super intelligent super villain, and utterly stupid but insanely strong robots. The secondary characters, are something of the trio Stooges, but unfortunately not as funny, with only a couple of punchlines which keep repeating over and over again....

The three stars go for the animation technology, the voice acting and the (strangely enough) not completely wrong physics..... However, Pixar's amazing team cannot compensate for the totally inadequate script.

Watch it at your own risk, with lots of coffee to to help you overcome the boredom (or even better watch something else).",3,-1,-1
23,23,Lightyear,6.1,Animation Action Adventure,16-Jun-22,"A fun space adventure that makes good use of its voice cast, visual effects, and innovative sci-fi elements","""Lightyear"" is the 26th CGI animated film by Disney Pixar and a spin-off of the ""Toy Story"" series. Featuring the voices of Chris Evans, Keke Palmer, and Taika Waititi, it is a fun space adventure that makes good use of its voice cast, visual effects, and innovative sci-fi elements.

Somewhere in outer space, test pilot Buzz Lightyear (voiced by Chris Evans) accidentally causes the crew of his exploration team to be stranded on a hostile planet. With the Earth millions of light-years away, Buzz urgently tries to find a method of transportation to allow him and his crew a safe passage home, though repeated setbacks cause his research to take several years. As time passes by, Buzz soon finds himself joined by a robot companion cat named Sox (voiced by Peter Sohn) and a group of enthusiastic recruits who attempt to aid him in this massive undertaking. To make matters more difficult, a large army of dangerous robots suddenly appear to steal an important fuel source from Buzz and his new friends in order to appease their imposing commander Zurg (voiced by James Brolin).

The original ""Toy Story"" holds the distinction of being the very first movie I remember seeing at the cinema all the way back in 1995. As a result, I've always had a soft spot for this series and all of its characters. Like most children at the time, I was captivated by the toys of Woody the cowboy doll and Buzz Lightyear the astronaut action figure, the latter of which caused me to ask my parents to buy me one immediately after my initial viewing of the film (they didn't, but I ended up getting one for my birthday later on). There was always something so fascinating to me about Buzz Lightyear's origins, not necessarily as a toy but as an in-universe character, and now in ""Lightyear"", Pixar has finally provided a proper origin story to one of their most recognisable heroes in a film entertains as both an enjoyable sci-fi adventure and a solid spin-off to the original set of movies.

It is established right away that this film exists within the ""Toy Story"" universe as the favourite movie of Andy, the kid owner of both Buzz and Woody, making it something of a ""movie-within-a-movie"". Because of this, there are no references to anybody being a sentient toy or the canon of the preceding four films. Instead, this is a relatively straightforward story about the origin of Buzz Lightyear as a rookie explorer who hasn't yet attained the rank of Space Ranger. I like this approach because it allows the audience to discard any concern that it could change too much of what has already been established and simply enjoy it for what it is. With that said, there are some cleverly veiled allusions to the four movies scattered throughout in the form of quotes and visual cues. I'm not going to say what they were at the risk of revealing spoilers but I'm sure keen-eyed and keen-eared fans should notice them right away.

While this may not be the first Pixar film to feature outer space as its main setting (see ""WALL-E""), it still manages to use it as a great location for our main character to show off some intriguing personality traits not seen before in the ""Toy Story"" movies. We see that Buzz needs to create an efficient fuel source capable of transporting his entire crew of 1000+ people back to Earth several light-years away but ends up wasting many years doing so. This allows for an insight into Buzz's one-track mind as it shows that the longer he focuses on his goal, the longer he doesn't realise that everyone around him is growing older while he stays the same age due to the physics of light speed. Buzz is unable to form real emotional bonds with anyone tangible because by the time he returns to base, everyone has either moved on or has forgotten all about him. It's so interesting to see the way this film (and one aimed at children no less) treats the idea of light speed travel as a serious concept and not merely a plot gimmick. I'm not sure how accurate all of the science is in any of this but it all seems pretty well researched for the most part, at least as far as science fiction media goes.

In stark contrast to the earlier ""Toy Story"" films, which look a bit dated nowadays in terms of presentation, ""Lightyear"" is a beautifully rendered visual treat. I loved the attention-to-detail placed on the character designs, especially on their uniforms. For example, Buzz's space helmet flawlessly reflects some of the gorgeous colours of the cosmos when he's travelling at light speed and the cross-stitching on his shirt looks so realistic. In addition to this, the use of lurid lighting to emphasise the unfavourable conditions of the planet show how inhospitable it truly is, with Buzz and his crew making the most of what they have if they wish to survive. It's a true showcase of how far Pixar have come over the past 27 years, going from a small independent studio making short films to one of Disney's biggest animation juggernauts.

I'll admit I was initially apprehensive at the idea of someone else besides Tim Allen voicing Buzz Lightyear but I think Chris Evans did a great job here. Though at first it sounded weird to hear Buzz with a different voice, I did get used to Evans pretty quickly and in some ways I almost prefer him to Allen. This is because I realised that Tim Allen voiced Buzz with a more light-hearted, comedic tone in the ""Toy Story"" films since he is actually a toy there and not a real person. In this film, Chris Evans voices Buzz with a more serious demeanour, like he's a heroic figure that people need to look up to and respect. That's not to say Evans's Buzz didn't have his own fair share of comical moments, as there were a few scenes of him where he ends up becoming the butt of some jokes due to some of his inexperience. Much like his take on Captain America, Chris Evans strikes a decent balance between sincerity and humour.

The rest of the supporting cast all had their moments as well, with Peter Sohn as the robot cat Sox perhaps being my favourite. Sox is basically a parody of all those odd robotic sidekick characters a sci-fi film protagonist may have at their dispersal. He is efficient, helpful, and is often used to solve a problem that the others are unable to do so on their own. At the same time though, I couldn't help but shake the thought that he was only added to the film as a merchandising opportunity. With that in mind, I foresee him being a popular toy for kids around Christmas time, maybe even bundled with a Buzz Lightyear action figure as well.

Keke Palmer, Dale Soules, and Taika Waititi also voice Buzz's recruits Izzy, Darby, and Mo, respectively. The three of them are loyal allies for Buzz and it was fun to see how their newer way of doing things often clashed with Buzz's older point of view, leading to some disagreements within the group. Even if some of their scenes fell a bit flat at times, they were all likeable enough for me to care about them whenever they happened to be placed in dangerous situations. If I had to choose a favourite out of the three of them, I'd say Waititi's character Mo was the one I liked most, mainly because he's good at playing those types of clumsy but loveable supporting characters. Either that or his Kiwi accent is just very amusing to me.

Taken completely on its own, ""Lightyear"" is another fine Pixar animated feature that's sure to entertain longtime fans of the legendary studio's work. As a spin-off to the beloved ""Toy Story"" series, it also functions as a nice little quasi-prequel to the first film. Though you might not learn as much about Buzz Lightyear's character as you may have hoped, you can at least see why he's such an appealing hero in the first place. Still, if you've ever liked Buzz Lightyear as a kid or if you happen to have kids who like him, you're bound to find at least one thing to appreciate about this movie, whether it's the visual style, the voice acting, or the science fiction elements themselves.

I rate it 8/10.",8,1,1
24,24,Lightyear,6.1,Animation Action Adventure,18-Jun-22,"Lightyear is far from another incredibly memorable Pixar film, but it's still an adventure filled with tons of entertainment, inspiring messages, and breathtaking animation.","If you enjoy reading my Spoiler-Free thoughts, please follow my blog to read my full review :)

""Lightyear is far from yet another incredibly memorable Pixar film, but it's still an adventure filled with tons of entertainment, inspiring messages, and breathtaking animation.

Angus MacLane doesn't deviate from the studio's well-known formulas, delivering a narrative without notable deviations from the most predictable, safest path. Except for an unnecessary, overly complex twist for the target audience in the third act, Buzz Lightyear and his team take viewers through space on a remarkably immersive audiovisual journey.

The voice cast is extraordinary, most notably Chris Evans - born to play captains - and Peter Sohn - non-stop hilarious as the robotic cat Sox, Disney's most popular new toy-to-be.

I highly recommend to see it in theaters!""

Rating: B+",7,1,1
25,25,Interceptor,4.6,Action Adventure Drama,05-Jun-22,Almost unwatchable,"This is one of those rare moments when you should trust the negative reviews. Elsa Pataky was fine in the small roles she had in the Fast and Furious films but she is not an action star and her acting can not support a film on its own. Apart from that the cgi in this is TERRIBLE, it looks like you are watching a direct to video film from the 80s. The writing is awful, the one liners in this are so generic and completely uninspired. The action in this is also very bland and the fight scenes are too repetitive. Nothing about this movie is fresh or entertaining, I'm not sure who the target audience is supposed to be but this is one movie that you should avoid.",2,-1,-1
26,26,Interceptor,4.6,Action Adventure Drama,07-Jun-22,The latest masterpiece that Netflix gifted us with,"If you:

like high-intensity plots that are incredibly well-researched
have waited for ages to finally see a believable and well-written female action lead
love great, witty dialogue and its flawless delivery
are a fan of sublety and great taste in pacing
have a faible for a sublime, but powerful score
long for incredibly emotional and competent acting
have an eye for masterful direction


you should skip this and save yourself the embarrassment.",1,-1,-1
27,27,Interceptor,4.6,Action Adventure Drama,29-Jul-22,Cliches and tropes aplenty,"The opening blurb tells us America has two bases designated to stop inbound nuclear missiles from Russia. One is a military base in Alaska, no doubt guarded by plenty of heavily armed soldiers, plenty of security counter measures to stop people getting in and teams of backup in case of any problems. The other is a precarious floating rig, with a handful of missile batteries, that doesn't appear to have any defences or counter measures, and the nearest support is an hour away. From that set up, the bad guys we see in the film have really over complicated their plans. All they want to do is disable the interceptor rocket batteries, yet are stoic in following through their own plan, which is guarded by Captain J. J. Collins (Elsa Pataky), who is equally single minded in her objective, in the standard lone action hero way.

More bizarrely to all that, we have Chris Hemsworth providing comic interludes. Did the mildly simmering tension really need that?

Not really. The scenario is a claustrophobic set, resulting in intense and brutal fights, with basically the one goal that's in the title. Forget any notion of checking to see if the rest of the ships crew are alive (we told you we used nerve gas and shot them all, but maybe we didn't...), she has one mission and will carry it out. Tim Wong (who's also the films fight coordinator) as Zhang and Ingrid Kleinig (who's also the films second unit director) as Kira are most known for their stunt work, so it's no surprise that they are involved in some of the more physical acts. Steven A. Davis as Nikolai is also the films assistant fight coordinator, though he's not that active in fighting. Emotional support comes from Mayen Mehta as Corporal Rahul Shah playing the introverted subordinate soldier - a turtle owning family man - while Rhys Muldoon as Lieutenant Colonel Clark Marshall fills in the emotional back story about how the Captain has suffered in her career, with Belinda Jombwe as Ensign Washington giving a brief motivational speech . That seems to be the take away from the film; all the main characters feel/should feel wronged by the system, and it's how they deal with those feelings that separates which side their on.

The set is very minimal and the CGI reminiscent of 80's VHS stuff - it gets the story where it needs to go - while the soundtrack accents the vision; you can watch with subtitles and know something is going to happen by the ""tense instrumental music"".

IMDB also have Ali Kadhim as Dark Cloud (Japanese Sword Guy), yet he's not included in the films credits (and I don't remember him in the film). Maybe the producers thought that was one cliche too far?",3,-1,-1
28,28,Interceptor,4.6,Action Adventure Drama,07-Jun-22,Hot steaming Turd,"Yeah this movie was a hot mess from the first to last minute. As a United States Marine this was utter nonsense and from a technical perspective, it was embarrassing. It was so bad Thor was brought on as a producer to try and save the day. They wanted his name added to give it some kind of credibility. Yeah not happening. You can put lipstick on a pig but at the end of the day, it's still a pig. Don't waste your time on this one folks cause it really is a hot turd... Ug soooo bad..",1,-1,-1
29,29,Interceptor,4.6,Action Adventure Drama,04-Jun-22,hahahahah :D,"This is bad on so many levels, you can start from anywhere and you will start with something bad. So I was looking for a way to start from the good side. So here it goes: ""The beautiful ocean... and then HAHAHAH :) OMG! """,2,-1,-1
